"game_title","game_platform","publisher_title"
"Famicom Remix Best Choice","3DS","Nintendo"
"Family Fest Presents Circus Games","Wii","Ubisoft"
"Family Fest presents: Movie Games","Wii","Ubisoft"
"Family Feud Decades","Wii","Ubisoft"
"Family Feud: 2010 Edition","DS","Ubisoft"
"Family Feud: 2010 Edition","Wii","Ubisoft"
"Family Feud: 2012 Edition","Wii","Ubisoft"
"Family Feud: 2012 Edition","X360","Ubisoft"
"Family Fortunes","DS","Mindscape"
"Family Fortunes","Wii","Mindscape"
"Family Fun Football","Wii","Tecmo Koei"
"Family Game Night 4: The Game Show","PS3","Electronic Arts"
"Family Game Night 4: The Game Show","Wii","Electronic Arts"
"Family Game Night 4: The Game Show","X360","Electronic Arts"
"Family GameShow","Wii","Zushi Games"
"Family Guy","PSP","Take-Two Interactive"
"Family Guy: Back to the Multiverse","PS3","Activision"
"Family Guy: Back to the Multiverse","X360","Activision"
"Family Jockey","Wii","Namco Bandai Games"
"Family Party: 30 Great Games","Wii","D3Publisher"
"Family Party: 30 Great Games Outdoor Fun","Wii","D3Publisher"
"Family Party: 30 Great Games Winter Fun","Wii","D3Publisher"
"Family Party: 90 Great Games Party Pack","Wii","D3Publisher"
"Family Party: Fitness Fun","Wii","D3Publisher"
"Family Trainer: Treasure Adventure","Wii","Namco Bandai Games"
"Famista '91","NES","Namco Bandai Games"
"Famista '92","NES","Namco Bandai Games"
"Famista 64","N64","Namco Bandai Games"
"Famista Returns","3DS","Namco Bandai Games"
"Fancy Nancy: Tea Party Time!","DS","THQ"
"Fantasia: Music Evolved","X360","Disney Interactive Studios"
"Fantasia: Music Evolved","XOne","Disney Interactive Studios"
"Fantastic 4","GC","Activision"
"Fantastic 4","PS2","Activision"
"Fantastic 4","XB","Activision"
"Fantastic 4: Flame On","GBA","Activision"
"Fantastic Four","PS","Acclaim Entertainment"
"Fantastic Four: Rise of the Silver Surfer","DS","Take-Two Interactive"
"Fantastic Four: Rise of the Silver Surfer","PS2","Take-Two Interactive"
"Fantastic Four: Rise of the Silver Surfer","PS3","Take-Two Interactive"
"Fantastic Four: Rise of the Silver Surfer","Wii","Take-Two Interactive"
"Fantastic Four: Rise of the Silver Surfer","X360","Take-Two Interactive"
"Fantastic Pets","X360","THQ"
"Fantastic Voyage","2600","20th Century Fox Video Games"
"Fantasy Aquarium by DS","DS","Mercury Games"
"Fantasy Aquarium World","Wii","Destineer"
"Fantasy Life","3DS","Nintendo"
"Fantavision","PS2","Sony Computer Entertainment"
"Far Cry","PC","Ubisoft"
"Far Cry 2","PC","Ubisoft"
"Far Cry 2","PS3","Ubisoft"
"Far Cry 2","X360","Ubisoft"
"Far Cry 3","PC","Ubisoft"
"Far Cry 3","PS3","Ubisoft"
"Far Cry 3","X360","Ubisoft"
"Far Cry 4","PC","Ubisoft"
"Far Cry 4","PS3","Ubisoft"
"Far Cry 4","PS4","Ubisoft"
"Far Cry 4","X360","Ubisoft"
"Far Cry 4","XOne","Ubisoft"
"Far Cry Instincts","XB","Ubisoft"
"Far Cry Instincts Evolution","XB","Ubisoft"
"Far Cry Instincts Predator","X360","Ubisoft"
"Far Cry Vengeance","Wii","Ubisoft"
"Far Cry: Primal","PC","Ubisoft"
"Far Cry: Primal","PS4","Ubisoft"
"Far Cry: Primal","XOne","Ubisoft"
"Far East of Eden II: Manji Maru","DS","Hudson Soft"
"Far East of Eden II: Manji Maru","PS2","Hudson Soft"
"Far East of Eden Shinden","NG","Hudson Soft"
"Far East of Eden Zero","SNES","Hudson Soft"
"Farm Frenzy","PC","Mumbo Jumbo"
"Farm Frenzy 3","DS","Unknown"
"Farm Frenzy 3","PC","Alawar Entertainment"
"Farm Frenzy: Animal Country","DS","City Interactive"
"Farming 2017 - The Simulation","PS4","UIG Entertainment"
"Farming Simulator 15 Expansion Pack","PC","Focus Home Interactive"
"Farming Simulator 17","PC","Focus Home Interactive"
"Farming Simulator 17","PS4","Focus Home Interactive"
"Farming Simulator 17","XOne","Focus Home Interactive"
"Farming Simulator 2011","PC","N/A"
"Farming Simulator 2012","3DS","Excalibur Publishing"
"Farming Simulator 2013","PC","Focus Home Interactive"
"Farming Simulator 2013","PS3","Focus Home Interactive"
"Farming Simulator 2013","X360","Focus Home Interactive"
"Farming Simulator 2014","PSV","Focus Home Interactive"
"Farming Simulator 2015","PC","Focus Home Interactive"
"Farming Simulator 2015","PS3","Koch Media"
"Farming Simulator 2015","PS4","Koch Media"
"Farming Simulator 2015","X360","Koch Media"
"Farming Simulator 2015","XOne","Koch Media"
"Farmtopia","DS","505 Games"
"Fashion Studio: Paris Collection","DS","Ubisoft"
"Fashion Week Jr. Designer","DS","505 Games"
"Fashionable Puppy: Oshare na Koinu DS","DS","MTO"
"Fast & Furious: Showdown","PS3","Activision"
"Fast & Furious: Showdown","X360","Activision"
"Fast Food","2600","Unknown"
"Fast Food Panic","DS","Nobilis"
"Fast Food Panic","Wii","Nobilis"
"Fast Racing Neo ","WiiU","Nintendo"
"Fat Princess: Fistful of Cake","PSP","Sony Computer Entertainment"
"Fatal Frame","PS2","Wanadoo"
"Fatal Frame","XB","Tecmo Koei"
"Fatal Frame 2: Wii Edition","Wii","Nintendo"
"Fatal Frame II: Crimson Butterfly","PS2","Ubisoft"
"Fatal Frame II: Crimson Butterfly Director's Cut","XB","Microsoft Game Studios"
"Fatal Frame III: The Tormented","PS2","Take-Two Interactive"
"Fatal Frame: Maiden of Black Water","WiiU","Nintendo"
"Fatal Fury","SNES","Takara"
"Fatal Fury 2","SNES","Takara"
"Fatal Fury Special","SNES","Takara"
"Fatal Fury: Battle Archives Volume 1","PS2","Ignition Entertainment"
"Fatal Fury: Battle Archives Volume 1 (JP sales)","PS2","Ignition Entertainment"
"Fatal Fury: Battle Archives Volume 2","PS2","SNK Playmore"
"Fatal Fury: Battle Archives Volume 2 (JP sales)","PS2","SNK Playmore"
"Fatal Fury: Wild Ambition","PS","SNK Playmore"
"Fatal Inertia","X360","Tecmo Koei"
"Fate/Extella: The Umbral Star","PS4","PQube"
"Fate/Extella: The Umbral Star","PSV","PQube"
"Fate/Extra","PSP","Marvelous Interactive"
"Fate/Extra CCC","PSP","Marvelous Entertainment"
"Fate/hollow ataraxia","PSV","Type-Moon"
"Fate/kaleid liner Prisma Illya","3DS","Kadokawa Games"
"Fate/Stay Night [R̩alta Nua]","PS2","Kadokawa Shoten"
"FIFA Soccer 2005","GBA","Electronic Arts"
"Fate/Stay Night [R̩alta Nua]","PSV","Kadokawa Shoten"
"Fate/Tiger Colosseum","PSP","Capcom"
"Fate/Tiger Colosseum Upper","PSP","Capcom"
"Fate/Unlimited Codes","PS2","Capcom"
"Fate/Unlimited Codes Portable","PSP","Capcom"
"Fear Effect","PS","Eidos Interactive"
"Fear Effect 2: Retro Helix","PS","Eidos Interactive"
"Fear Factor: Unleashed","GBA","Hip Interactive"
"Feel the Magic XY/XX","DS","Sega"
"Felony 11-79","PS","ASCII Entertainment"
"Fernbus Simulator","PC","Aerosoft"
"Ferrari Challenge Trofeo Pirelli","PS2","System 3 Arcade Software"
"Ferrari Challenge Trofeo Pirelli","PS3","System 3 Arcade Software"
"Ferrari Challenge Trofeo Pirelli Deluxe","Wii","System 3 Arcade Software"
"Ferrari F355 Challenge","PS2","Sony Computer Entertainment"
"Ferrari: The Race Experience","Wii","System 3 Arcade Software"
"Festa!! Hyper Girls Party","PS2","KID"
"Field & Stream: Total Outdoorsman Challenge","X360","505 Games"
"Field Commander","PSP","Sony Online Entertainment"
"FIFA 06 Soccer","GC","Electronic Arts"
"FIFA 06: Road to FIFA World Cup","X360","Electronic Arts"
"FIFA 12","3DS","Electronic Arts"
"FIFA 12","PC","Electronic Arts"
"FIFA 12","PS2","Electronic Arts"
"FIFA 12","PS3","Electronic Arts"
"FIFA 12","PSP","Electronic Arts"
"FIFA 12","Wii","Electronic Arts"
"FIFA 12","X360","Electronic Arts"
"FIFA 14","3DS","Electronic Arts"
"FIFA 14","PC","Electronic Arts"
"FIFA 14","PS3","Electronic Arts"
"FIFA 14","PS4","Electronic Arts"
"FIFA 14","PSP","Electronic Arts"
"FIFA 14","PSV","Electronic Arts"
"FIFA 14","Wii","Electronic Arts"
"FIFA 14","X360","Electronic Arts"
"FIFA 14","XOne","Electronic Arts"
"FIFA 15","3DS","Electronic Arts"
"FIFA 15","PC","Electronic Arts"
"FIFA 15","PS3","Electronic Arts"
"FIFA 15","PS4","Electronic Arts"
"FIFA 15","PSV","Electronic Arts"
"FIFA 15","Wii","Electronic Arts"
"FIFA 15","X360","Electronic Arts"
"FIFA 15","XOne","Electronic Arts"
"FIFA 16","PC","Electronic Arts"
"FIFA 16","PS3","Electronic Arts"
"FIFA 16","PS4","Electronic Arts"
"FIFA 16","X360","Electronic Arts"
"FIFA 16","XOne","Electronic Arts"
"FIFA 17","PC","Electronic Arts"
"FIFA 17","PS3","Electronic Arts"
"FIFA 17","PS4","Electronic Arts"
"FIFA 17","X360","Electronic Arts"
"FIFA 17","XOne","Electronic Arts"
"FIFA 2000","PS","Electronic Arts"
"FIFA 2001 Major League Soccer","PS","Electronic Arts"
"FIFA 2001: Major League Soccer","PS2","Electronic Arts"
"FIFA 99","N64","Electronic Arts"
