"game_title","game_platform","publisher_title"
"FIFA Manager 12","PC","Electronic Arts"
"FIFA Soccer","PSP","Electronic Arts"
"FIFA Soccer","PSV","Electronic Arts"
"FIFA Soccer 06","DS","Electronic Arts"
"FIFA Soccer 06","GBA","Electronic Arts"
"FIFA Soccer 06","PS2","Electronic Arts"
"FIFA Soccer 06","PSP","Electronic Arts"
"FIFA Soccer 06","XB","Electronic Arts"
"FIFA Soccer 07","DS","Electronic Arts"
"FIFA Soccer 07","GC","Electronic Arts"
"FIFA Soccer 07","PS2","Electronic Arts"
"FIFA Soccer 07","PSP","Electronic Arts"
"FIFA Soccer 07","X360","Electronic Arts"
"FIFA Soccer 07","XB","Electronic Arts"
"FIFA Soccer 08","DS","Electronic Arts"
"FIFA Soccer 08","PC","Electronic Arts"
"FIFA Soccer 08","PS2","Electronic Arts"
"FIFA Soccer 08","PS3","Electronic Arts"
"FIFA Soccer 08","PSP","Electronic Arts"
"FIFA Soccer 08","Wii","Electronic Arts"
"FIFA Soccer 08","X360","Electronic Arts"
"FIFA Soccer 09","DS","Electronic Arts"
"FIFA Soccer 09","PC","Electronic Arts"
"FIFA Soccer 09","PS2","Electronic Arts"
"FIFA Soccer 09","PS3","Electronic Arts"
"FIFA Soccer 09","PSP","Electronic Arts"
"FIFA Soccer 09","X360","Electronic Arts"
"FIFA Soccer 09 All-Play","Wii","Electronic Arts"
"FIFA Soccer 10","DS","Electronic Arts"
"FIFA Soccer 10","PC","Electronic Arts"
"FIFA Soccer 10","PS2","Electronic Arts"
"FIFA Soccer 10","PS3","Electronic Arts"
"FIFA Soccer 10","PSP","Electronic Arts"
"FIFA Soccer 10","Wii","Electronic Arts"
"FIFA Soccer 10","X360","Electronic Arts"
"FIFA Soccer 11","DS","Electronic Arts"
"FIFA Soccer 11","PC","Electronic Arts"
"FIFA Soccer 11","PS2","Electronic Arts"
"FIFA Soccer 11","PS3","Electronic Arts"
"FIFA Soccer 11","PSP","Electronic Arts"
"FIFA Soccer 11","Wii","Electronic Arts"
"FIFA Soccer 11","X360","Electronic Arts"
"FIFA Soccer 13","3DS","Electronic Arts"
"FIFA Soccer 13","PC","Electronic Arts"
"FIFA Soccer 13","PS3","Electronic Arts"
"FIFA Soccer 13","PSP","Electronic Arts"
"FIFA Soccer 13","PSV","Electronic Arts"
"FIFA Soccer 13","Wii","Electronic Arts"
"FIFA Soccer 13","WiiU","Electronic Arts"
"FIFA Soccer 13","X360","Electronic Arts"
"FIFA Soccer 2002","GC","Electronic Arts"
"FIFA Soccer 2002","PS","Electronic Arts"
"FIFA Soccer 2002","PS2","Electronic Arts"
"FIFA Soccer 2003","GBA","Electronic Arts"
"FIFA Soccer 2003","GC","Electronic Arts"
"FIFA Soccer 2003","PS2","Electronic Arts"
"FIFA Soccer 2003","XB","Electronic Arts"
"FIFA Soccer 2003 (weekly jp sales)","PS2","Electronic Arts"
"FIFA Soccer 2004","GBA","Electronic Arts"
"FIFA Soccer 2004","GC","Electronic Arts"
"FIFA Soccer 2004","PS2","Electronic Arts"
"FIFA Soccer 2004","XB","Electronic Arts"
"FIFA Soccer 2005","GC","Electronic Arts"
"FIFA Soccer 2005","PS2","Electronic Arts"
"FIFA Soccer 2005","XB","Electronic Arts"
"FIFA Soccer 64","N64","Electronic Arts"
"FIFA Soccer 96","PS","Electronic Arts"
"FIFA Soccer 97","PS","Electronic Arts"
"FIFA Soccer World Championship","PS2","Electronic Arts"
"FIFA Street","GC","Electronic Arts"
"FIFA Street","PS2","Electronic Arts"
"FIFA Street","PS3","Electronic Arts"
"FIFA Street","X360","Electronic Arts"
"FIFA Street","XB","Electronic Arts"
"FIFA Street 2","DS","Electronic Arts"
"FIFA Street 2","GC","Electronic Arts"
"FIFA Street 2","PS2","Electronic Arts"
"FIFA Street 2","PSP","Electronic Arts"
"FIFA Street 2","XB","Electronic Arts"
"FIFA Street 3","DS","Electronic Arts"
"FIFA Street 3","PS3","Electronic Arts"
"FIFA Street 3","X360","Electronic Arts"
"FIFA World Cup Germany 2006","DS","Electronic Arts"
"FIFA World Cup Germany 2006","GC","Electronic Arts"
"FIFA World Cup Germany 2006","PS2","Electronic Arts"
"FIFA World Cup Germany 2006","PSP","Electronic Arts"
"FIFA World Cup Germany 2006","X360","Electronic Arts"
"FIFA World Cup Germany 2006","XB","Electronic Arts"
"FIFA World Cup: Germany 2006","GBA","Electronic Arts"
