"title"
"DTP Entertainment"
"Dusenberry Martin Racing"
"EA Games"
"Easy Interactive"
"Ecole"
"Edia"
"Eidos Interactive"
"Electronic Arts"
"Electronic Arts Victor"
"Elf"
"Elite"
"Empire Interactive"
"Encore"
"Enix Corporation"
"Enjoy Gaming ltd."
"Enterbrain"
"EON Digital Entertainment"
"Epic Games"
"Epoch"
"Ertain"
"ESP"
"Essential Games"
"Evolution Games"
"Evolved Games"
"Excalibur Publishing"
"Experience Inc."
"Extreme Entertainment Group"
"Falcom Corporation"
"Fields"
"Flashpoint Games"
"Flight-Plan"
"Focus Home Interactive"
"Focus Multimedia"
"fonfun"
"Foreign Media Games"
"Fortyfive"
"Fox Interactive"
"From Software"
"Fuji"
"Funbox Media"
"Funcom"
"FunSoft"
"Funsta"
"FuRyu"
"FuRyu Corporation"
"G.Rev"
"Gaga"
"Gainax Network Systems"
"Gakken"
"Game Arts"
"Game Factory"
"Game Life"
"Gamebridge"
"Gamecock"
"Gameloft"
"GameMill Entertainment"
"Games Workshop"
"GameTek"
"Gathering of Developers"
"Gearbox Software"
"General Entertainment"
"Genki"
"Genterprise"
"Ghostlight"
"Giga"
"Giza10"
"Glams"
"Global A Entertainment"
"Global Star"
"GN Software"
"GOA"
"Gotham Games"
"Graffiti"
"Grand Prix Games"
"Graphsim Entertainment"
"Gremlin Interactive Ltd"
"Griffin International"
"Groove Games"
"GSP"
"GT Interactive"
"GungHo"
"Gust"
"Hackberry"
"HAL Laboratory"
"Hamster Corporation"
"Happinet"
"Harmonix Music Systems"
"Hasbro Interactive"
"Havas Interactive"
"Headup Games"
"Hearty Robin"
"Hect"
"Hello Games"
"Her Interactive"
"Hip Interactive"
"HMH Interactive"
"Home Entertainment Suppliers"
"Hudson Entertainment"
"Hudson Soft"
"Human Entertainment"
"HuneX"
"Iceberg Interactive"
"id Software"
"Idea Factory"
"Idea Factory International"
"IE Institute"
"Ignition Entertainment"
"Illusion Softworks"
"Imadio"
"Image Epoch"
"imageepoch Inc."
"Imageworks"
"Imagic"
"Imagineer"
"Imax"
"Indie Games"
"Infogrames"
"Insomniac Games"
"Interchannel"
"Interchannel-Holon"
"Interplay"
"Interplay Productions"
"Inti Creates"
"Introversion Software"
"inXile Entertainment"
"Irem Software Engineering"
"ITT Family Games"
"Ivolgamus"
"iWin"
"Jack of All Games"
"Jaleco"
"Jester Interactive"
"Jorudan"
"JoWood Productions"
"Just Flight"
"JVC"
"Kadokawa Games"
"Kadokawa Shoten"
"Kaga Create"
"Kalypso Media"
"Kamui"
"Kando Games"
"Karin Entertainment"
"Kemco"
"KID"
"Kids Station"
"King Records"
"Knowledge Adventure"
"Koch Media"
"Kokopeli Digital Studios"
"Konami Digital Entertainment"
"Kool Kizz"
"KSS"
"Laguna"
"Legacy Interactive"
"LEGO Media"
"Level 5"
"Lexicon Entertainment"
"Licensed 4U"
"Lighthouse Interactive"
"Liquid Games"
"Little Orbit"
"Locus"
"LSP Games"
"LucasArts"
"Mad Catz"
"Magical Company"
"Magix"
"Majesco Entertainment"
"Mamba Games"
"Marvel Entertainment"
"Marvelous Entertainment"
"Marvelous Games"
"Marvelous Interactive"
"Masque Publishing"
"Mastertronic"
"Mastiff"
"Mattel Interactive"
"Max Five"
"Maximum Family Games"
"Maxis"
"MC2 Entertainment"
"Media Entertainment"
"Media Factory"
"Media Rings"
"Media Works"
"MediaQuest"
"Men-A-Vision"
"Mentor Interactive"
"Mercury Games"
"Merscom LLC"
"Metro 3D"
"Michaelsoft"
"Micro Cabin"
"Microids"
"Microprose"
"Microsoft Game Studios"
"Midas Interactive Entertainment"
"Midway Games"
"Milestone"
"Milestone S.r.l"
"Milestone S.r.l."
"Minato Station"
"Mindscape"
"Mirai Shounen"
"Misawa"
"Mitsui"
"MLB.com"
"Mojang"
"Monte Christo Multimedia"
"Moss"
"MTO"
"MTV Games"
"Mud Duck Productions"
"Mumbo Jumbo"
"Mycom"
"Myelin Media"
"Mystique"
"N/A"
"Namco Bandai Games"
"Natsume"
"Navarre Corp"
"Naxat Soft"
"NCS"
"NCSoft"
"NDA Productions"
"NEC"
"NEC Interchannel"
"Neko Entertainment"
"NetRevo"
"New"
"New World Computing"
"NewKidCo"
"Nexon"
"Nichibutsu"
"Nihon Falcom Corporation"
"Nintendo"
"﻿Nintendo"
"Nippon Amuse"
"Nippon Columbia"
"Nippon Ichi Software"
"Nippon Telenet"
"Nitroplus"
"Nobilis"
"Nordcurrent"
"Nordic Games"
"NovaLogic"
"Number None"
"O-Games"
"O3 Entertainment"
"Ocean"
"Office Create"
"On Demand"
"Ongakukan"
"Origin Systems"
"Otomate"
"Oxygen Interactive"
"P2 Games"
"Pacific Century Cyber Works"
"Pack-In-Video"
"Pack In Soft"
"Palcom"
"Panther Software"
"Paon"
"Paon Corporation"
"Paradox Development"
"Paradox Interactive"
"Parker Bros."
"Performance Designed Products"
"Phantagram"
"Phantom EFX"
"Phenomedia"
"Phoenix Games"
"Piacci"
"Pinnacle"
"Pioneer LDC"
"Play It"
"Playlogic Game Factory"
"Playmates"
"Playmore"
"PlayV"
"Plenty"
"PM Studios"
"Pony Canyon"
"PopCap Games"
"Popcorn Arcade"
"PopTop Software"
"Pow"
"PQube"
"Princess Soft"
"Prototype"
"Psygnosis"
"Quelle"
"Quest"
"Quinrose"
"Quintet"
"Rage Software"
"Rebellion"
"Rebellion Developments"
"RED Entertainment"
"Red Flagship"
"Red Orb"
"Red Storm Entertainment"
"RedOctane"
"Reef Entertainment"
"responDESIGN"
"Revolution (Japan)"
"Revolution Software"
"Rising Star Games"
"Riverhillsoft"
"Rocket Company"
"Rondomedia"
"RTL"
"Russel"
"Sammy Corporation"
"Saurus"
"Scholastic Inc."
"SCi"
"Screenlife"
"SCS Software"
"Sears"
"Sega"
"Seta Corporation"
"Seventh Chord"
"Shogakukan"
"Simon & Schuster Interactive"
"Slightly Mad Studios"
"Slitherine Software"
"SNK"
"SNK Playmore"
"Societa"
"Sold Out"
"Sonnet"
"Sony Computer Entertainment"
"Sony Computer Entertainment America"
"Sony Computer Entertainment Europe"
"Sony Music Entertainment"
"Sony Online Entertainment"
"SouthPeak Games"
"Spike"
"SPS"
"Square"
"Square EA"
"Square Enix"
"Square Enix "
"SquareSoft"
"SSI"
"Stainless Games"
"Starfish"
"Starpath Corp."
"Sting"
"Storm City Games"
"Strategy First"
"Success"
"Summitsoft"
"Sunflowers"
"Sunrise Interactive"
"Sunsoft"
"Sweets"
"Swing! Entertainment"
"Syscom"
"System 3"
"System 3 Arcade Software"
"System Soft"
"T&E Soft"
"Taito"
"Takara"
"Takara Tomy"
"Take-Two Interactive"
"Takuyo"
"TalonSoft"
"TDK Core"
"TDK Mediactive"
"Team17 Software"
"Technos Japan Corporation"
"TechnoSoft"
"Tecmo Koei"
"Telegames"
"Telltale Games"
"Telstar"
"Tetris Online"
"TGL"
"The Adventure Company"
"The Learning Company"
"THQ"
"Tigervision"
"Time Warner Interactive"
"Titus"
"Tivola"
"TOHO"
"Tommo"
"Tomy Corporation"
"TopWare Interactive"
"Touchstone"
"Tradewest"
"Trion Worlds"
"Tripwire Interactive"
"Tru Blu Entertainment"
"Tryfirst"
"TYO"
"Type-Moon"
"U.S. Gold"
"Ubisoft"
"Ubisoft Annecy"
"UEP Systems"
"UFO Interactive"
"UIG Entertainment"
"Ultravision"
"Universal Gamex"
"Universal Interactive"
"Unknown"
"Valcon Games"
"ValuSoft"
"Valve"
"Valve Software"
"Vap"
"Vatical Entertainment"
"Vic Tokai"
"Victor Interactive"
"Video System"
"Views"
"Vir2L Studios"
"Virgin Interactive"
"Virtual Play Games"
"Visco"
"Vivendi Games"
"Wanadoo"
"Warashi"
"Wargaming.net"
"Warner Bros. Interactive Entertainment"
"Warp"
"WayForward Technologies"
"Westwood Studios"
"White Park Bay Software"
"Wizard Video Games"
"Xicat Interactive"
"Xing Entertainment"
"Xplosiv"
"XS Games"
"Xseed Games"
"Yacht Club Games"
"Yamasa Entertainment"
"Yeti"
"Yuke's"
"Yumedia"
"Zenrin"
"Zoo Digital Publishing"
"Zoo Games"
"Zushi Games"
