"critic_score","user_score","critic_count","user_count","score_id"
85,7.8,19,78,484
86,6.4,68,2658,485
88,8.5,59,572,486
0,0,0,0,487
87,9,42,93,488
0,0,0,0,489
79,7.8,13,4,490
93,7.3,77,292,491
85,8.3,98,1172,492
76,8.8,40,76,493
78,4.3,7,700,494
0,4.2,0,85,495
0,0,0,0,496
91,8.7,74,1692,497
73,8.6,21,30,498
93,9,28,45,499
67,6.8,45,18,500
85,8.9,30,16,501
61,5.3,37,23,502
76,7.7,49,69,503
83,7.4,61,179,504
0,0,0,0,505
0,7.7,0,15,506
0,0,0,0,507
81,5.8,36,179,508
87,8.7,34,111,509
83,7.8,29,1530,510
0,0,0,0,511
0,0,0,0,512
0,0,0,0,513
84,8.4,60,494,514
85,6.1,58,90,515
0,0,0,0,516
96,8.9,88,2249,517
97,9.3,70,747,518
90,8.2,59,791,519
0,7,0,8,520
0,0,0,0,521
0,0,0,0,522
75,7.5,56,286,523
0,0,0,0,524
0,7.6,0,7,525
0,0,0,0,526
0,0,0,0,527
0,0,0,0,528
0,0,0,0,529
80,7.9,90,2944,530
0,0,0,0,531
0,0,0,0,532
0,0,0,0,533
89,8.6,22,39,534
87,8.2,47,241,535
0,0,0,0,536
89,7.2,59,301,537
81,5.6,11,31,538
89,7.5,61,4926,539
83,7.7,81,836,540
83,7.7,33,46,541
84,7.9,85,942,542
73,6.7,74,389,543
0,0,0,0,544
81,7.4,42,67,545
84,7.6,70,490,546
0,0,0,0,547
0,0,0,0,548
79,7.4,63,211,549
0,0,0,0,550
0,0,0,0,551
69,6.6,44,174,552
0,3.2,0,58,553
95,9.1,30,314,554
86,8.2,23,56,555
0,0,0,0,556
89,7.8,83,893,557
82,6.5,71,233,558
78,5.9,55,94,559
84,9,32,41,560
73,6.8,88,2102,561
84,5.7,47,120,562
93,9.1,52,271,563
0,0,0,0,564
0,0,0,0,565
79,7.7,51,18,566
83,8.7,58,52,567
77,8.2,39,69,568
92,8.6,17,80,569
85,8.5,87,268,570
85,6.3,67,171,571
84,5.5,50,201,572
0,6.7,0,10,573
89,7.7,24,102,574
0,0,0,0,575
84,6.9,55,113,576
0,0,0,0,577
71,7.9,24,47,578
79,6.6,53,707,579
78,7.8,18,21,580
80,8,65,127,581
90,8.2,37,84,582
82,7.2,92,454,583
90,7.7,42,134,584
0,0,0,0,585
90,7.5,63,133,586
74,6.7,71,288,587
71,7.6,16,49,588
0,0,0,0,589
91,8.7,50,529,590
84,8.1,21,44,591
79,8,47,124,592
87,7.5,42,108,593
73,7.7,4,7,594
80,8.6,27,57,595
80,7.4,24,114,596
0,0,0,0,597
78,7.8,11,17,598
72,8.7,38,83,599
0,0,0,0,600
0,0,0,0,601
73,8.3,28,179,602
0,0,0,0,603
0,0,0,0,604
83,5.5,22,101,605
86,7.9,68,725,606
73,8,37,89,607
87,7.8,68,98,608
83,7,50,125,609
0,0,0,0,610
80,7.9,15,46,611
75,8,15,5,612
87,4.9,23,150,613
