"game_title","game_platform","score_id"
"Advance Wars: Days of Ruin","DS",3290
"Advance Wars: Dual Strike","DS",4938
"Advent Rising","XB",9586
"Adventure","2600",1507
"Adventure Island","NES",1974
"Adventure Time: Explore the Dungeon Because I Don't Know!","3DS",8839
"Adventure Time: Explore the Dungeon Because I Don't Know!","PS3",13366
"Adventure Time: Explore the Dungeon Because I Don't Know!","WiiU",14140
"Adventure Time: Explore the Dungeon Because I Don't Know!","X360",11625
"Adventure Time: Finn & Jake Investigations","3DS",11295
"Adventure Time: Finn & Jake Investigations","PS3",11155
"Adventure Time: Finn & Jake Investigations","PS4",10895
"Adventure Time: Finn & Jake Investigations","WiiU",13045
"Adventure Time: Finn & Jake Investigations","X360",11667
"Adventure Time: Finn & Jake Investigations","XOne",12922
"Adventure Time: The Secret of the Nameless ","3DS",16013
"Adventure Time: The Secret of the Nameless ","X360",16298
"Adventure Time: The Secret of the Nameless Kingdom","3DS",11438
"Adventure Time: The Secret of the Nameless Kingdom","X360",12643
"Adventures of Lolo","NES",12668
"Adventures of Tron","2600",3022
"Adventures to Go!","PSP",9392
"Aedis Eclipse: Generation of Chaos","PSP",15816
"Aegis of Earth: Protonovus Assault","PS3",15132
"Aegis of Earth: Protonovus Assault","PS4",14905
"Aegis of Earth: Protonovus Assault","PSV",14875
"Aeon Flux","PS2",13773
"Aeon Flux","XB",16206
"Aero Elite: Combat Academy","PS2",11860
"Aero Gauge","N64",12022
"AeroFighters Assault","N64",7838
"Afrika","PS3",7288
"Afro Samurai","PS3",7668
"Afro Samurai","X360",6935
"After Hours Athletes","PS3",9958
"Again","DS",11816
"Agarest Senki: Re-appearance","PS3",16352
"Agassi Tennis Generation","PS2",10980
"Agatha Christie's The ABC Murders","PS4",14943
"Agatha Christie's The ABC Murders","XOne",16326
"Agatha Christie: And Then There Were None","Wii",11789
"Agatha Christie: Death on the Nile","PC",15775
"Agatha Christie: Evil Under the Sun","Wii",11401
"Apache: Air Assault","PC",14324
"Agatha Christie: Peril at End House","PC",16655
"Agatha Christie: The ABC Murders","DS",10586
"Agatha Christie: The ABC Murders","PC",15492
"Age of Conan: Rise of the Godslayer","PC",14841
"Age of Empires II: The Age of Kings","PC",10886
"Age of Empires III","PC",5049
"Age of Empires III: Complete Collection","PC",8306
"Age of Empires III: Gold Edition","PC",14914
"Age of Empires III: The Asian Dynasties","PC",12294
"Age of Empires Online","PC",12434
"Age of Empires: Collector's Edition","PC",9211
"Age of Empires: Mythologies","DS",7413
"Age of Empires: The Age of Kings","DS",7193
"Age of Mythology","PC",11252
"Age of Mythology: The Titans","PC",13775
"Aggressive Inline","GC",12761
"Aggressive Inline","PS2",5320
"Aggressive Inline","XB",12320
"Agile Warrior F-111X","PS",9212
"Aibou DS","DS",11279
"Aidyn Chronicles: The First Mage","N64",10639
"Aikatsu Stars! My Special Appeal","3DS",16682
"Aikatsu! 2-nin no My Princess","3DS",6435
"Aikatsu! 365 Idol Days","3DS",9615
"Aikatsu! Cinderella Lesson","3DS",7697
"Aikatsu! My No.1 Stage!","3DS",11742
"Ailu de Puzzle","PSP",14079
"AIR","PSP",15549
"Air-Sea Battle","2600",2107
"Air Combat","PS",957
"Air Conflicts: Aces of World War II","PSP",12907
"Air Conflicts: Secret Wars","PC",14924
"Air Conflicts: Secret Wars","PS3",7950
"Air Conflicts: Secret Wars","X360",11378
"Air Raid","2600",2646
"Air Traffic Chaos","DS",13078
"Airblade","PS2",7030
"Airborne Troops: Countdown to D-Day","PS2",9893
"AirForce Delta Storm","GBA",15099
"AirForce Delta Storm","XB",8031
"AirForce Delta Strike","PS2",10133
"Airline Tycoon","PC",15858
"Airline Tycoon 2","PC",12938
"Airlock","2600",4949
"Airport Simulator","PC",15501
"Airship Q","PSV",14389
"Aiyoku no Eustia","PSV",16712
"Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin","DS",12333
"Akai Ito DS","DS",15284
"Akai Katana Shin","X360",12446
"Akane Iro ni Somaru Saka Parallel","PS2",14782
"Akatsuki no Amaneka to Aoi Kyojin","PSP",16477
"Akatsuki no Goei Trinity","PS3",16633
"Akatsuki no Goei Trinity","PSP",16524
"AKB1/149: Love Election","PS3",11522
"AKB1/149: Love Election","PSP",7034
"AKB1/149: Love Election","PSV",11775
"AKB1/48: Idol to Guam de Koishitara...","PSP",4801
"AKB1/48: Idol to Guam de Koishitara...","X360",16297
"AKB1/48: Idol to Koishitara...","PSP",4726
"AKB48+Me","3DS",10229
"Akiba's Trip","PSP",9127
"Akiba's Trip Plus","PSP",11533
"Akiba's Trip: Undead & Undressed","PS3",10141
"Akiba's Trip: Undead & Undressed","PS4",9887
"Akiba's Trip: Undead & Undressed","PSV",8684
"Akko ni Omakase! Brain Shock","DS",13841
"Akuji the Heartless","PS",9885
"Aladdin Magic Racer","Wii",16507
"Alan Wake","PC",12277
"Alan Wake","X360",1469
"Alex Rider: Stormbreaker","DS",12243
"Alexi Lalas International Soccer","PS",11944
"Alfa Romeo Racing Italiano","PS2",16155
"Alia's Carnival! Sacrament","PSV",14440
"Alias","PS2",10230
"Alias","XB",13150
"Alice in Wonderland","DS",4139
"Alice in Wonderland","Wii",3902
"Alice: Madness Returns","PC",9907
"Alice: Madness Returns","PS3",3453
"Alice: Madness Returns","X360",4006
"Alien","2600",2579
"Alien's Return","2600",5376
"Alien Breed Trilogy","X360",15036
"Alien Hominid","GC",10930
"Alien Hominid","PS2",10629
"Alien Monster Bowling League","Wii",10976
"Alien Resurrection","PS",8478
"Alien Syndrome","PSP",11646
"Alien Syndrome","Wii",12513
"Alien Trilogy","PS",4131
"Alien: Isolation","PC",9037
"Alien: Isolation","PS3",5529
"Alien: Isolation","PS4",1813
"Alien: Isolation","X360",6184
"Alien: Isolation","XOne",3910
"Alienators: Evolution Continues","GBA",14151
"Aliens in the Attic","DS",13015
"Aliens in the Attic","Wii",11690
"Aliens versus Predator: Extinction","PS2",7793
"Aliens versus Predator: Extinction","XB",11353
"Aliens vs Predator","PC",7750
"Aliens vs Predator","PS3",1993
"Aliens vs Predator","X360",1952
"Aliens vs Predator: Requiem","PSP",7234
"Aliens: Colonial Marines","PC",8121
"Aliens: Colonial Marines","PS3",3329
"Aliens: Colonial Marines","X360",2642
"Aliens: Infestation","DS",8519
"All-Pro Football 2K8","PS3",8712
"All-Pro Football 2K8","X360",6422
"All-Star Baseball 2000","N64",4908
